p,mu,sigma
0.505,129.655,1391641.5659750002
0.51,44.639,37785.334679000014
0.515,29.529,20294.863159
0.52,26.975,9502.450375
0.525,21.036,4912.562704
0.53,14.33,1817.5350999999996
0.535,12.95,1254.1675
0.54,11.628,599.233616
0.545,10.481,374.971639
0.55,10.574,503.22052399999995
0.555,10.775,725.444375
0.56,8.639,252.442679
0.565,8.188,254.68065600000003
0.5700000000000001,7.483,195.531711
0.575,6.905,170.55797499999997
0.58,6.561,126.16027899999999
0.585,5.857,99.790551
0.59,5.246,74.667484
0.595,5.211,63.066478999999994
0.6,4.991,49.714919
0.605,5.059,53.323519
0.61,4.478,43.683516000000004
0.615,4.155,31.282974999999997
0.62,3.993,28.784951
0.625,3.986,29.603804
0.63,3.703,20.032791
0.635,3.452,17.405695999999995
0.64,3.672,19.660415999999998
0.645,3.16,15.316400000000002
0.65,3.348,16.536896000000002
0.655,3.082,11.325275999999999
0.66,3.045,13.638975
0.665,3.17,12.919099999999998
0.67,3.081,11.482439000000001
0.675,2.836,11.619104
0.6799999999999999,2.909,8.386719000000001
0.685,2.68,7.0616
0.69,2.522,6.625515999999999
0.6950000000000001,2.45,5.2755
0.7,2.581,6.5814390000000005
0.705,2.466,5.262844
0.71,2.424,6.806224
0.715,2.288,4.219055999999999
0.72,2.272,5.1220159999999995
0.725,2.062,3.540156
0.73,2.218,3.816476
0.735,2.174,4.175724
0.74,2.061,3.1312789999999997
0.745,1.951,2.922599
0.75,2.02,2.9556000000000004
0.755,1.921,2.738759
0.76,1.957,3.0151510000000004
0.765,1.803,1.9361909999999998
0.77,1.971,2.8841590000000004
0.775,1.815,1.894775
0.78,1.805,2.0369750000000004
0.7849999999999999,1.704,1.640384
0.79,1.695,1.7179749999999998
0.7949999999999999,1.727,1.728471
0.8,1.668,1.3697759999999999
0.8049999999999999,1.665,1.496775
0.81,1.607,1.2825509999999998
0.815,1.615,1.3107749999999998
0.8200000000000001,1.6,1.198
0.825,1.604,1.237184
0.8300000000000001,1.551,1.005399
0.835,1.455,0.837975
0.8400000000000001,1.493,0.8119509999999999
0.845,1.448,0.865296
0.85,1.405,0.8509750000000001
0.855,1.406,0.673164
0.86,1.387,0.5992309999999998
0.865,1.352,0.568096
0.87,1.332,0.511776
0.875,1.328,0.506416
0.88,1.34,0.5204000000000001
0.885,1.304,0.5455840000000001
0.89,1.24,0.2984
0.895,1.255,0.335975
0.9,1.248,0.322496
0.905,1.227,0.323471
0.9099999999999999,1.232,0.296176
0.915,1.208,0.26873600000000003
0.9199999999999999,1.217,0.28191099999999997
0.925,1.199,0.31939900000000004
0.9299999999999999,1.143,0.170551
0.935,1.152,0.20089600000000002
0.94,1.156,0.22366399999999997
0.9450000000000001,1.143,0.17455099999999998
0.95,1.094,0.11516400000000002
0.9550000000000001,1.097,0.11159099999999998
0.96,1.084,0.090944
0.9650000000000001,1.064,0.067904
0.97,1.059,0.06151899999999998
0.975,1.047,0.052791
0.98,1.05,0.051500000000000004
0.985,1.036,0.04070399999999999
0.99,1.016,0.015744000000000005
0.995,1.008,0.007935999999999997
1.0,1.0,0.0
