b,mu,sigma
1,2.015,3.1627749999999994
2,4.103,6.546391
3,5.997,8.686991000000003
4,7.926,11.586523999999997
5,10.213,17.093631000000002
6,12.108,17.834336
7,13.99,21.047900000000002
8,15.949,21.576399000000002
9,18.067,26.954511
10,20.084,29.586944000000003
11,22.047,33.950790999999995
12,23.811,37.707279
13,26.084,37.266944
14,27.447,39.533190999999995
15,30.114,44.443004
16,31.873,49.362871
17,33.915,51.519774999999996
18,36.189,53.23927900000001
19,38.04,54.0324
20,39.561,52.216279
21,41.84,61.458400000000005
22,44.172,72.116416
23,45.879,67.12635900000001
24,48.354,74.366684
25,50.1,76.328
26,51.97,78.2731
27,54.281,78.982039
28,55.718,78.808476
29,57.896,84.477184
30,59.93,91.5171
31,62.069,92.732239
32,64.507,102.649951
33,65.771,93.918559
34,67.709,101.22431900000002
35,69.573,100.718671
36,71.694,103.938364
37,74.067,110.802511
38,75.674,113.591724
39,78.161,115.517079
40,79.919,127.504439
41,82.002,131.30999599999998
42,84.049,134.458599
43,86.359,133.104119
44,88.055,133.96597500000001
45,90.286,139.330204
46,92.061,137.123279
47,93.768,140.93817599999997
48,96.049,146.418599
49,98.506,140.261964
50,99.243,140.901951
51,101.99,160.4539
52,104.431,158.033239
53,106.163,164.364431
54,107.719,152.750039
55,110.05,167.8415
56,112.217,181.03191099999998
57,114.022,173.477516
58,116.156,179.47366399999999
59,118.395,180.450975
60,119.775,163.458375
61,121.691,163.893519
62,124.699,183.060399
63,126.924,193.938224
64,128.321,198.55595899999997
65,129.379,206.541359
66,131.686,209.895404
67,134.199,186.531399
68,135.891,212.005119
69,137.729,197.697559
70,139.68,192.9456
71,142.028,214.241216
72,143.272,198.628016
73,145.073,217.35767099999998
74,147.631,219.032839
75,149.95,234.1535
76,152.164,226.041104
77,154.453,231.701791
78,156.358,231.945836
79,157.708,227.16873599999997
80,159.331,240.867439
81,161.798,237.681196
82,163.838,263.45975599999997
83,166.208,255.50073600000002
84,167.653,234.79259100000002
85,169.496,249.235984
86,172.432,252.387376
87,173.619,252.505839
88,176.076,246.942224
89,178.057,251.609751
90,180.68,293.0776
91,182.174,269.31972400000006
92,184.493,292.419951
93,184.651,276.20319900000004
94,189.006,295.949964
95,189.961,264.61147900000003
96,192.966,292.4548439999999
97,194.106,286.520764
98,195.574,275.410524
99,198.204,313.368384
100,200.286,287.310204
