itr,mu,sigma
1,8.0,0.0
2,4.5,12.25
3,3.6666666666666665,9.555555555555557
4,3.0,8.5
5,2.6,7.439999999999999
6,2.3333333333333335,6.5555555555555545
7,2.142857142857143,5.836734693877552
8,2.0,5.25
9,1.8888888888888888,4.765432098765433
10,1.8,4.359999999999999
11,1.7272727272727273,4.016528925619834
12,1.6666666666666667,3.722222222222222
13,1.6153846153846154,3.4674556213017746
14,1.7142857142857142,3.3469387755102042
15,1.6666666666666667,3.1555555555555554
16,1.625,2.984375
17,1.588235294117647,2.830449826989619
18,1.5555555555555556,2.6913580246913575
19,1.5789473684210527,2.5595567867036007
20,1.55,2.4474999999999993
21,1.5238095238095237,2.3446712018140596
22,1.5,2.25
23,1.4782608695652173,2.1625708884688093
24,1.4583333333333333,2.0815972222222223
25,1.44,2.0064
26,1.4230769230769231,1.9363905325443787
27,1.4074074074074074,1.8710562414266114
28,1.3928571428571428,1.8099489795918369
29,1.4137931034482758,1.7598097502972656
30,1.4,1.7066666666666668
31,1.3870967741935485,1.6566077003121744
32,1.375,1.609375
33,1.393939393939394,1.57208448117539
34,1.3823529411764706,1.5302768166089968
35,1.3714285714285714,1.490612244897959
36,1.3611111111111112,1.4529320987654317
37,1.3513513513513513,1.4170927684441201
38,1.3421052631578947,1.3829639889196677
39,1.3333333333333333,1.3504273504273505
40,1.325,1.3193750000000002
41,1.3170731707317074,1.2897085068411658
42,1.3095238095238095,1.2613378684807257
43,1.302325581395349,1.234180638182801
44,1.2954545454545456,1.2081611570247928
45,1.288888888888889,1.1832098765432097
46,1.3260869565217392,1.219754253308128
47,1.3829787234042554,1.3426889995473061
48,1.375,1.3177083333333335
49,1.3673469387755102,1.2936276551436905
50,1.36,1.2703999999999998
51,1.3529411764705883,1.2479815455594
52,1.3461538461538463,1.2263313609467452
53,1.3396226415094339,1.2054111783552868
54,1.3333333333333333,1.1851851851851851
55,1.3272727272727274,1.1656198347107436
56,1.3214285714285714,1.1466836734693877
57,1.3157894736842106,1.1283471837488455
58,1.3103448275862069,1.1105826397146255
59,1.305084745762712,1.093363975869003
60,1.3,1.0766666666666664
61,1.2950819672131149,1.0604676162321955
62,1.2903225806451613,1.0447450572320498
63,1.2857142857142858,1.0294784580498861
64,1.28125,1.0146484375
65,1.2769230769230768,1.0002366863905328
66,1.2878787878787878,0.9928833792470155
67,1.2835820895522387,0.9792826910224997
68,1.2794117647058822,0.9660467128027685
69,1.2753623188405796,0.9531611006091159
70,1.2714285714285711,0.9406122448979597
71,1.2816901408450703,0.9347351715929384
72,1.2777777777777777,0.9228395061728396
73,1.2876712328767124,0.9172452617751923
74,1.2837837837837838,0.9059532505478451
75,1.28,0.8949333333333331
76,1.2763157894736843,0.884175900277008
77,1.2857142857142858,0.8794063079777361
78,1.2820512820512822,0.8691650230111765
79,1.278481012658228,0.8591571863483412
80,1.2875,0.8548437499999999
81,1.2839506172839505,0.8452979728699894
82,1.2804878048780488,0.8359607376561569
83,1.2771084337349397,0.8268253737842941
84,1.2738095238095237,0.817885487528345
85,1.2705882352941176,0.8091349480968864
86,1.2674418604651163,0.8005678745267715
87,1.2758620689655173,0.7974633372968689
88,1.272727272727273,0.7892561983471074
89,1.2696629213483148,0.7812144931195557
90,1.2666666666666668,0.7733333333333334
91,1.263736263736264,0.7656080183552711
92,1.2717391304347827,0.7631143667296789
93,1.2688172043010755,0.7556942999190659
94,1.2765957446808511,0.7532820280669992
95,1.2736842105263158,0.7461495844875354
96,1.2708333333333333,0.7391493055555565
97,1.288659793814433,0.7620363481772776
98,1.295918367346939,0.7593710953769264
99,1.3333333333333337,0.8888888888888886
100,1.3300000000000003,0.8810999999999996
101,1.336633663366337,0.8767767865895499
102,1.3431372549019611,0.8724529027297192
103,1.3495145631067964,0.8681308323121875
104,1.3461538461538465,0.86094674556213
105,1.3523809523809527,0.8567800453514738
106,1.3584905660377362,0.8526165895336413
107,1.3551401869158881,0.845838064459778
108,1.351851851851852,0.8391632373113855
109,1.3669724770642204,0.8561568891507445
110,1.381818181818182,0.8723966942148758
111,1.3783783783783787,0.8658388117847573
112,1.3839285714285716,0.8615274234693877
113,1.3805309734513276,0.855196178244185
114,1.3771929824561406,0.84895352416128
115,1.3826086956521741,0.8449149338374289
116,1.3793103448275865,0.8388822829964326
117,1.401709401709402,0.8899116078603253
118,1.398305084745763,0.8837259408216027
119,1.4957983193277313,1.9978815055433934
120,1.5166666666666668,2.033055555555555
121,1.528925619834711,2.034287275459326
122,1.5245901639344264,2.019887127116366
123,1.5365853658536588,2.021019234582589
124,1.5322580645161292,2.0070239334027047
125,1.5280000000000002,1.9932159999999994
126,1.547619047619048,2.025510204081632
127,1.5433070866141734,2.0119040238080474
128,1.5468750000000002,1.9978027343749991
129,1.542635658914729,1.9846163091160376
130,1.5384615384615388,1.9715976331360934
131,1.5419847328244276,1.9581609463317986
132,1.5606060606060608,1.988751147842056
133,1.5563909774436093,1.97614336593363
134,1.5522388059701495,1.9636890175985737
135,1.5555555555555558,1.9506172839506162
136,1.5514705882352944,1.9385272491349474
137,1.5547445255474455,1.925835153710906
138,1.5579710144927539,1.913306028145347
139,1.5539568345323742,1.9017649190000512
140,1.5500000000000003,1.890357142857142
141,1.546099290780142,1.8790805291484323
142,1.5422535211267607,1.8679329498115451
143,1.5384615384615388,1.8569123184507794
144,1.541666666666667,1.8454861111111112
145,1.537931034482759,1.8347681331747916
146,1.5342465753424661,1.8241696378307375
147,1.5306122448979596,1.8136887408024434
148,1.5337837837837842,1.8029127100073041
149,1.5771812080536916,2.06954641682807
150,1.5733333333333335,2.057955555555556
151,1.5695364238410598,2.0464891890706545
152,1.5657894736842106,2.0351454293628812
153,1.5686274509803921,2.0230680507497127
154,1.5649350649350648,2.012017203575646
155,1.5741935483870968,2.012237252861603
156,1.5833333333333333,2.012286324786326
157,1.585987261146497,2.000567974360015
158,1.5822784810126584,1.9900656946002244
159,1.578616352201258,1.9796685257703421
160,1.5750000000000002,1.9693750000000003
161,1.5776397515527951,1.958257783264536
162,1.5740740740740742,1.9482167352537734
163,1.5705521472392638,1.9382739282622614
164,1.5731707317073171,1.92757287328971
165,1.5696969696969696,1.9178696051423345
166,1.5662650602409638,1.9082595442009018
167,1.562874251497006,1.8987414392771362
168,1.5714285714285714,1.8996598639455797
169,1.5680473372781065,1.8903399740905447
170,1.5647058823529412,1.8811072664359876
171,1.5730994152046784,1.8820833760815305
172,1.569767441860465,1.8730394808004345
173,1.5664739884393064,1.8640783186875618
174,1.5632183908045978,1.855198837362929
175,1.5657142857142856,1.8456816326530623
176,1.5625,1.8370028409090917
177,1.5593220338983051,1.828401800248971
178,1.5730337078651686,1.851407650549174
179,1.5698324022346368,1.8428887987266327
180,1.5666666666666667,1.834444444444446
181,1.5635359116022098,1.826073685174448
182,1.5604395604395604,1.8177756309624469
183,1.5573770491803278,1.8095494042820057
184,1.5543478260869565,1.8013941398865811
185,1.5621621621621622,1.802892622352084
186,1.564516129032258,1.7942247658688886
187,1.5668449197860963,1.7856387085704495
188,1.5691489361702127,1.7771333182435503
189,1.566137566137566,1.769435346154924
190,1.568421052631579,1.7611080332409985
191,1.5654450261780104,1.7535703516899224
192,1.5625,1.7460937500000009
193,1.5595854922279793,1.7386775483905623
194,1.556701030927835,1.7313210755659494
195,1.558974358974359,1.7234451019066426
196,1.5561224489795917,1.7162380258225767
197,1.5634517766497462,1.7180550903141047
198,1.5606060606060606,1.7109733700642815
199,1.5577889447236182,1.7039468700285365
200,1.555,1.6969750000000023
201,1.5522388059701493,1.690057176802557
202,1.5495049504950495,1.6831928242329215
203,1.5467980295566504,1.6763813730010462
204,1.5441176470588236,1.6696222606689766
205,1.5414634146341464,1.6629149315883436
206,1.5388349514563107,1.6562588368366513
207,1.536231884057971,1.6496534341524929
208,1.5336538461538463,1.643098187869826
209,1.5311004784688995,1.6365925688514498
210,1.5285714285714285,1.6301360544217727
211,1.5260663507109005,1.6237281282990086
212,1.5424528301886793,1.6727260590957669
213,1.539906103286385,1.6662478785073538
214,1.5420560747663552,1.659446239846278
215,1.544186046511628,1.6526987560843733
216,1.5462962962962963,1.6460048010973973
217,1.543778801843318,1.639788485633591
218,1.5412844036697249,1.6336166989310694
219,1.538812785388128,1.627489001480372
220,1.5363636363636364,1.6214049586776893
221,1.5339366515837105,1.615364140783361
222,1.5315315315315314,1.6093661228796399
223,1.5291479820627802,1.6034104848277697
224,1.5267857142857142,1.597496811224493
225,1.528888888888889,1.5913876543209904
226,1.5353982300884956,1.5938797086694367
227,1.5374449339207048,1.587804925381827
228,1.5350877192982457,1.5821021852877837
229,1.5327510917030567,1.5764382830228292
230,1.5304347826086957,1.5708128544423472
231,1.5281385281385282,1.5652255392515158
232,1.5258620689655173,1.5596759809750322
233,1.5236051502145922,1.5541638269262683
234,1.5213675213675213,1.5486887281759105
235,1.5191489361702128,1.5432503395201476
236,1.5169491525423728,1.5378483194484378
