itr,mu,sigma
1,15.0,0.0
2,8.0,49.0
3,6.666666666666667,36.22222222222222
4,6.0,28.5
5,5.6,23.44
6,5.5,19.583333333333336
7,4.857142857142857,19.26530612244898
8,4.375,18.484375
9,4.0,17.555555555555557
10,3.8,16.160000000000004
11,3.727272727272727,14.743801652892564
12,3.6666666666666665,13.555555555555557
13,3.6153846153846154,12.544378698224854
14,3.4285714285714284,12.102040816326532
15,3.2666666666666666,11.662222222222221
16,3.125,11.234375
17,3.0,10.823529411764707
18,3.111111111111111,10.432098765432098
19,3.0,10.105263157894736
20,2.9,9.79
21,3.238095238095238,11.609977324263038
22,3.227272727272727,11.084710743801654
23,3.1739130434782608,10.665406427221173
24,3.125,10.276041666666668
25,3.04,10.038400000000001
26,2.9615384615384617,9.806213017751478
27,2.888888888888889,9.580246913580249
28,2.8214285714285716,9.360969387755102
29,2.7586206896551726,9.148632580261594
30,2.7,8.943333333333333
31,2.6774193548387095,8.670135275754422
32,2.65625,8.413085937499998
33,2.606060606060606,8.238751147842056
34,2.5588235294117645,8.070069204152247
35,2.7714285714285714,9.376326530612243
36,2.9722222222222223,10.527006172839501
37,2.918918918918919,10.344777209642073
38,2.973684210526316,10.183518005540163
39,2.923076923076923,10.019723865877712
40,3.025,10.174374999999996
41,2.975609756097561,10.023795359904812
42,2.9761904761904763,9.785147392290245
43,3.372093023255814,16.140616549486204
44,3.5681818181818183,17.427169421487605
45,3.6444444444444444,17.295802469135808
46,3.5869565217391304,17.068525519848777
47,3.9574468085106385,23.019465821638754
48,3.9375,22.558593750000007
49,3.877551020408163,22.270720533111213
50,3.82,21.987600000000015
51,3.9019607843137254,21.892349096501363
52,3.8461538461538463,21.630177514792912
53,4.0754716981132075,23.956568173727312
54,4.018518518518518,23.684842249657077
55,3.963636363636363,23.41685950413224
56,3.964285714285714,22.99872448979593
57,3.9122807017543852,22.74669128962759
58,3.879310344827586,22.416468489892992
59,4.033898305084746,23.42257971847171
60,4.016666666666667,23.049722222222233
61,4.229508196721311,25.389948938457415
62,4.17741935483871,25.145941727367326
63,4.222222222222222,24.87125220458554
64,4.203125,24.505615234375007
65,4.338461538461538,25.300828402366875
66,4.287878787878788,25.083792470156112
67,4.253731343283582,24.78636667409223
68,4.205882352941177,24.57525951557094
69,4.27536231884058,24.54736399915985
70,4.271428571428571,24.19775510204083
71,4.225352112676056,24.00555445348147
72,4.180555555555555,23.81462191358026
73,4.136986301369863,23.625070369675377
74,4.175675675675675,23.41508400292185
75,4.1466666666666665,23.16515555555557
76,4.105263157894737,22.988919667590036
77,4.064935064935065,22.813965255523712
78,4.0256410256410255,22.640368178829732
79,3.9873417721518987,22.468194199647506
80,4.0125,22.23734375000001
81,3.9753086419753085,22.07346441091298
82,4.121951219512195,23.546103509815588
83,4.096385542168675,23.316011032080127
84,4.190476190476191,23.77324263038549
85,4.188235294117647,23.493979238754328
86,4.151162790697675,23.337614926987563
87,4.114942528735632,23.18219051393844
88,4.090909090909091,22.969008264462815
89,4.078651685393258,22.724150991036492
