z,f'(z),f(z)
0.5,0.0007768854267298657,0.000866551777220085
0.505,0.0008235494370327767,0.0009168561823462078
0.51,0.0008727727472500826,0.0009698159744255993
0.515,0.0009246888002454391,0.0010255646552402688
0.52,0.0009794380665881443,0.0010842425839616711
0.525,0.001037168442142389,0.0011459973620182693
0.53,0.0010980356707526006,0.00121098424239099
0.535,0.001162203793815128,0.001279366565101868
0.54,0.0012298456286711666,0.0013513162208051903
0.545,0.0013011432779136954,0.0014270141445492457
0.55,0.0013762886718736867,0.0015066508419487167
0.555,0.0014554841467393806,0.0015904269501975233
0.56,0.0015389430609688082,0.001678553836558321
0.565,0.0016268904528817603,0.001771254237192217
0.5700000000000001,0.0017195637425652486,0.001868762939440979
0.575,0.0018172134814984416,0.0019713275109474256
0.58,0.0019201041536019503,0.002079209079300354
0.585,0.002028515031744747,0.0021926831662210395
0.59,0.002142741094103842,0.002312040580672105
0.595,0.002263094005170246,0.0024375883756722672
0.6,0.0023899031666344958,0.0025696508740420915
0.605,0.0025235168438704336,0.0027085707687974758
0.61,0.002664303374272719,0.0028547103044476085
0.615,0.002812652464297592,0.0030084525460552314
0.62,0.002968976582714682,0.0031702027435820167
0.625,0.003133712458307894,0.003340389799779332
0.63,0.0033073226910746364,0.0035194678507065084
0.635,0.003490297486874619,0.003707917968870658
0.64,0.0036831565264841214,0.00390625
0.645,0.003886450981131464,0.0041150045455972915
0.65,0.0041007656878401,0.004334755104688406
0.655,0.004326721499303488,0.0045661103895990405
0.66,0.004564977824581434,0.004809716832181832
0.665,0.004816235378662156,0.005066261298699594
0.67,0.00508123916090505,0.00533647403357362
0.675,0.0053607816845950085,0.005621131854460395
0.6799999999999999,0.005655706482335031,0.005921061623662486
0.685,0.0059669119148200184,0.0062371440237489586
0.69,0.0062953553137162326,0.00657031766850524
0.6950000000000001,0.00664205749297401,0.006921583584011879
0.7,0.007008107666985211,0.007292010098822538
0.705,0.007394668818639459,0.00768273818696016
0.71,0.007802983565614846,0.008094987312856117
0.715,0.008234380579265602,0.008530061833530568
0.72,0.008690281617354856,0.008989358020372746
0.725,0.009172209239768112,0.009474371770976287
0.73,0.009681795285395938,0.009986707090780655
0.735,0.010220790198788745,0.010528085434981679
0.74,0.010791073307196712,0.011100356013528729
0.745,0.011394664162490232,0.011705507176327063
0.75,0.01203373507854554,0.012345679012345668
0.755,0.012710625013375318,0.013023177315618884
0.76,0.013427854967067705,0.013740489093616153
0.765,0.014188145092050986,0.014500299819753428
0.77,0.014994433742034066,0.015305512662659483
0.775,0.015849898721045204,0.01615926996108994
0.78,0.016757981035356237,0.017064977256197825
0.7849999999999999,0.01772241150003368,0.0180263302435607
0.79,0.01874724060999141,0.019047345067593226
0.7949999999999999,0.01983687215471484,0.020132392452791248
0.8,0.02099610113873734,0.021286236252208227
0.8049999999999999,0.022230156669551436,0.022514077096852388
0.81,0.023544750594797784,0.023821601954317394
0.815,0.024946132816165603,0.025215040555978372
0.8200000000000001,0.02644115438467032,0.026701229835931005
0.825,0.028037339698756412,0.028287687749715178
0.8300000000000001,0.029742969393197354,0.029982698117299363
0.835,0.03156717583619157,0.03179540847642099
0.8400000000000001,0.033520053561545596,0.03373594335693469
0.845,0.03561278747487898,0.035815535917550996
0.85,0.03785780231711857,0.038046681553988604
0.855,0.04026893768475802,0.04044331793298603
0.86,0.042861653947625665,0.04302103698475519
0.865,0.04565327574328789,0.04579733577167373
0.87,0.048663281461309806,0.048791914945075225
0.875,0.05191364939662522,0.05202703584547987
0.88,0.05542927423959204,0.05552795039092903
0.885,0.05923847154996851,0.05932342201083322
0.89,0.06337359321817895,0.0634463614162292
0.895,0.06787178420877645,0.06793460852798845
0.9,0.07277592093115566,0.07283190226099716
0.905,0.07813578562365074,0.07818909435407775
0.9099999999999999,0.08400955104671158,0.0840656839746506
0.915,0.09046567847557313,0.09053177941091126
0.9199999999999999,0.09758537409099792,0.09767063653941443
0.925,0.10546581190715151,0.10558198861507657
0.9299999999999999,0.11422442788455127,0.11438648106251258
0.935,0.1240047413680057,0.12423168022763652
0.94,0.1349844046043157,0.135300375111928
0.9450000000000001,0.1473865889684625,0.14782230671794136
0.95,0.16149652215392743,0.1620911758718608
0.9550000000000001,0.1776862646918603,0.17849006784851387
0.96,0.1964532336499601,0.1975308641975307
0.9650000000000001,0.21848286176055712,0.21991808807088595
0.97,0.24475637771367476,0.2466581422995361
0.975,0.27674992493116896,0.2792597342769015
0.98,0.316838880063124,0.32013735358039924
0.985,0.36923433763322844,0.3735365409239324
0.99,0.44263372964394043,0.44812512806502297
0.995,0.561035011053736,0.567433865739714
