0,0.0
2,0.123
1,0.2518
10,0.015
9,0.0197
7,0.0286
44,0.0015
6,0.0334
3,0.0837
27,0.0029
14,0.0085
15,0.0082
4,0.0575
11,0.0118
17,0.0066
66,0.001
5,0.0403
16,0.009
8,0.0213
1032,0.0001
38,0.0023
20,0.0061
19,0.0086
47,0.0021
49,0.0012
42,0.002
23,0.006
12,0.0125
45,0.0019
54,0.0015
37,0.0026
213,0.0002
28,0.003
1184,0.0001
977,0.0001
271,0.0003
57,0.0015
21,0.0048
75,0.0007
73,0.001
24,0.0045
22,0.0048
328,0.0002
89,0.0006
831,0.0001
48,0.0014
5001,0.0161
630,0.0001
72,0.0009
13,0.0103
65,0.0009
113,0.0008
244,0.0002
64,0.0004
33,0.0024
187,0.0004
25,0.0032
211,0.0004
32,0.0026
399,0.0001
207,0.0002
55,0.0011
417,0.0002
29,0.0036
26,0.0042
51,0.0015
39,0.0019
93,0.0006
84,0.0012
2785,0.0002
143,0.0004
229,0.0003
124,0.0006
1371,0.0001
166,0.0005
196,0.0004
18,0.0066
347,0.0003
103,0.0007
333,0.0002
108,0.0004
116,0.0005
70,0.0015
92,0.0009
290,0.0001
142,0.0004
40,0.0029
67,0.0011
173,0.0005
77,0.0009
3031,0.0001
179,0.0001
315,0.0001
63,0.0008
429,0.0001
198,0.0002
400,0.0001
155,0.0006
52,0.0014
805,0.0001
68,0.001
31,0.003
2992,0.0001
482,0.0001
319,0.0001
157,0.0005
151,0.0003
584,0.0002
106,0.0007
131,0.0002
30,0.0035
78,0.0009
240,0.0002
163,0.0003
126,0.0004
87,0.0006
613,0.0002
96,0.0007
413,0.0002
147,0.0002
441,0.0002
185,0.0003
245,0.0001
83,0.0007
3110,0.0002
61,0.001
1931,0.0001
3095,0.0001
638,0.0001
1557,0.0001
59,0.0002
711,0.0002
111,0.0007
1895,0.0001
249,0.0003
56,0.0023
1039,0.0001
454,0.0002
354,0.0001
160,0.0002
177,0.0002
423,0.0001
1645,0.0001
360,0.0003
237,0.0001
193,0.0002
581,0.0002
1159,0.0001
88,0.0008
41,0.0028
1739,0.0001
138,0.0002
46,0.0021
190,0.0005
175,0.0003
76,0.0008
60,0.0011
62,0.0014
326,0.0006
280,0.0001
762,0.0001
81,0.0006
36,0.0024
1750,0.0002
1280,0.0001
350,0.0001
946,0.0001
53,0.0015
69,0.001
133,0.0001
50,0.0014
2466,0.0001
149,0.0005
915,0.0002
550,0.0001
112,0.0001
312,0.0001
345,0.0003
86,0.0007
535,0.0001
43,0.0015
1296,0.0001
102,0.0008
260,0.0001
266,0.0002
1230,0.0001
191,0.0001
702,0.0001
208,0.0003
865,0.0002
182,0.0003
1441,0.0001
125,0.0005
642,0.0001
35,0.0028
624,0.0001
357,0.0003
307,0.0002
121,0.0003
438,0.0002
733,0.0001
117,0.0005
1572,0.0001
85,0.0007
1492,0.0001
174,0.0001
401,0.0002
216,0.0002
241,0.0003
168,0.0004
1726,0.0001
181,0.0002
159,0.0003
692,0.0002
325,0.0001
3613,0.0001
470,0.0002
491,0.0001
546,0.0002
699,0.0002
212,0.0004
409,0.0002
71,0.0012
614,0.0003
1778,0.0001
1735,0.0002
522,0.0001
1965,0.0001
769,0.0002
132,0.0007
2984,0.0001
603,0.0001
485,0.0001
94,0.0004
233,0.0001
80,0.0011
660,0.0001
402,0.0001
637,0.0001
199,0.0002
34,0.0018
2904,0.0001
703,0.0001
169,0.0001
2006,0.0001
204,0.0004
176,0.0005
238,0.0002
127,0.0003
1431,0.0001
118,0.0004
154,0.0001
706,0.0001
330,0.0001
812,0.0001
139,0.0006
135,0.0003
236,0.0004
365,0.0001
4382,0.0001
591,0.0001
214,0.0003
541,0.0001
115,0.0005
477,0.0001
180,0.0001
270,0.0002
98,0.0005
380,0.0002
430,0.0002
200,0.0001
644,0.0002
219,0.0003
258,0.0003
777,0.0001
129,0.0006
289,0.0001
339,0.0001
1623,0.0001
79,0.0008
2716,0.0001
91,0.0006
654,0.0001
683,0.0003
1113,0.0001
3676,0.0001
171,0.0002
130,0.0004
222,0.0001
195,0.0002
518,0.0001
