z,f'(z),f(z)
0.5,0.1728583451694116,0.1715728752538097
0.505,0.17532424925690687,0.17401043970885377
0.51,0.17781334847350255,0.17647058823529438
0.515,0.1803260662329959,0.1789537325856081
0.52,0.18286283757197175,0.18146029604788083
0.525,0.18542410958483657,0.1839907138875767
0.53,0.1880103418796915,0.18654543381092648
0.535,0.1906220070562877,0.18912491645124208
0.54,0.19325959120739591,0.1917296358795304
0.545,0.1959235944450163,0.19436008014091
0.55,0.1986145314529617,0.19701675181841116
0.555,0.2013329320674632,0.1997001686258857
0.56,0.20407934188756502,0.20241086403185715
0.565,0.20685432291721859,0.20514938791629733
0.5700000000000001,0.20965845424112234,0.2079163072624559
0.575,0.21249233273652265,0.21071220688603542
0.58,0.21535657382336132,0.2135376902041859
0.585,0.21825181225534002,0.21639338004698727
0.59,0.22117870295469136,0.2192799195142885
0.595,0.22413792189365989,0.22219797288103305
0.6,0.22713016702595262,0.2251482265544138
0.605,0.23015615927169,0.22813139008652294
0.61,0.2332166435596789,0.23114819724642688
0.615,0.23631238993116668,0.2341994071559581
0.62,0.2394441947095866,0.23728580549387868
0.625,0.2426128817412016,0.24040820577345778
0.63,0.24581930371199287,0.243567450698978
0.635,0.24906434354661144,0.24676441360715384
0.64,0.2523489158957494,0.25
0.645,0.25567396871886344,0.25327514917628147
0.65,0.25904048496983784,0.25659083596934873
0.655,0.2624494843938877,0.2599480725998884
0.66,0.2659020254447995,0.2633479106529395
0.665,0.26939920733248945,0.2667914431894398
0.67,0.27294217221184425,0.27027980700357346
0.675,0.27653210752490626,0.27381418503831423
0.6799999999999999,0.28017024850968614,0.2773958089728292
0.685,0.28385788089025094,0.2810259619968143
0.69,0.2875963437642722,0.28470598178839945
0.6950000000000001,0.2913870327059286,0.2884372637140631
0.7,0.29523140310399326,0.29222126427095385
0.705,0.2991309737571032,0.29605950479429555
0.71,0.30308733075065214,0.29995357545506907
0.715,0.3071021316425301,0.3039051395760406
0.72,0.3111771099880539,0.30791593829744945
0.725,0.31531408023799223,0.3119877956273771
0.73,0.3195149430476465,0.3161226239159911
0.735,0.32378169103954235,0.320322429797687
0.74,0.32811641506758404,0.32458932065059853
0.745,0.3325213110365397,0.3289255116292513
0.75,0.3369986873376911,0.33333333333333326
0.755,0.3415509729694566,0.3378152401838854
0.76,0.34618072642105047,0.3423738195878012
0.765,0.35089064540792747,0.34701180198265913
0.77,0.3556835775602068,0.3517320718668262
0.775,0.3605625321797688,0.356537679934821
0.78,0.3655306931986771,0.3614318564555308
0.7849999999999999,0.3705914334914659,0.36641802605150264
0.79,0.37574833071730723,0.3714998240618126
0.7949999999999999,0.3810051848957571,0.376681114699696
0.8,0.3863660379526881,0.3819660112501053
0.8049999999999999,0.3918351955122009,0.387358898592814
0.81,0.397417251257207,0.39286445838501893
0.815,0.40311711423772295,0.39848769729538325
0.8200000000000001,0.40894003957396174,0.404233978751394
0.825,0.4148916630838283,0.410109058746575
0.8300000000000001,0.42097804046506926,0.4161191263571903
0.835,0.4272056917856009,0.4222708497441964
0.8400000000000001,0.4335816521875512,0.4285714285714288
0.845,0.440113529898883,0.4350286539630993
0.85,0.4468095728814169,0.4416509773629608
0.855,0.45367874573897854,0.4484475899574375
0.86,0.4607308188821373,0.4554285147037346
0.865,0.46797647242068136,0.46260471348560306
0.87,0.4754274178639773,0.46998821253701384
0.875,0.4830965414975275,0.47759225007251693
0.88,0.4909980743329064,0.4854314511050559
0.885,0.4991477948844807,0.4935220358050545
0.89,0.5075632728323486,0.5018820695830564
0.895,0.5162641640629861,0.5105317655410212
0.9,0.5252725708936843,0.5194938532959159
0.905,0.534613485863849,0.5287940328211078
0.9099999999999999,0.5443153438873468,0.5384615384615382
0.915,0.5544107166822814,0.5485298475578907
0.9199999999999999,0.5649371966009353,0.5590375815769152
0.925,0.5759385364727516,0.5700296675619825
0.9299999999999999,0.5874661414621899,0.5815588578355718
0.935,0.5995810543464263,0.5936877525569214
0.94,0.6123566477222441,0.6064915440886852
0.9450000000000001,0.625882354841259,0.6200618243573093
0.95,0.6402689717273939,0.6345120047368861
0.9550000000000001,0.6556564198201916,0.6499852683644731
0.96,0.672225523750592,0.6666666666666665
0.9650000000000001,0.6902166767687526,0.6848023433394882
0.97,0.7099610724355971,0.7047317922538398
0.975,0.731936720505626,0.7269458810083714
0.98,0.7568786236246368,0.7522013138014091
0.985,0.7860256658829364,0.781777691088002
0.99,0.8217992114668617,0.8181818181818182
0.995,0.8705367420031513,0.8679182349373772
