z,f'(z),f(z)
0.5,0.0049399187850731165,0.005050633883346567
0.505,0.005155091537773618,0.005268972274768394
0.51,0.0053785275277772986,0.005495623855078388
0.515,0.005610530243618876,0.005730892786769105
0.52,0.005851415253897388,0.005975095420739194
0.525,0.006101510777086577,0.00622856087573259
0.53,0.0063611582836816324,0.0064916316505414205
0.535,0.006630713132850054,0.006764664271149587
0.54,0.006910545245922206,0.007048029975158685
0.545,0.007201039819239724,0.007342115436023016
0.55,0.007502598079078662,0.0076473235298152985
0.555,0.007815638081581016,0.007964074147463527
0.56,0.008140595560864782,0.008292805055632468
0.565,0.008477924828740789,0.008633972809682004
0.5700000000000001,0.00882809972974695,0.008988053722414428
0.575,0.009191614655519308,0.00935554489262991
0.58,0.009568985622857849,0.00973696529784603
0.585,0.009960751420215007,0.010132856955905602
0.59,0.0103674748277433,0.0105437861605994
0.595,0.010789743916483751,0.010970344796877942
0.6,0.011228173432770367,0.011413151741708516
0.605,0.011683406274465914,0.011872854357176369
0.61,0.012156115066241736,0.012350130083014253
0.615,0.012647003841772888,0.012845688136400116
0.62,0.01315680984144688,0.013360271327581788
0.625,0.013686305434989797,0.013894658000680139
0.63,0.014236300179304277,0.014449664109906767
0.635,0.014807643022802497,0.015026145442404113
0.64,0.01540122466861439,0.015625
0.645,0.01601798011027161,0.016247170553370067
0.65,0.01665889135482573,0.01689364738344053
0.655,0.017324990349873535,0.017565471226352155
0.66,0.018017362132652325,0.018263736439969154
0.665,0.01873714822125847,0.018989594411775078
0.67,0.019485550270158632,0.019744257230075144
0.675,0.02026383401453498,0.020529001642752155
0.6799999999999999,0.021073333530672853,0.021345173330439362
0.685,0.021915455842595837,0.02219419152391217
0.69,0.022791685908532738,0.023077553998807315
0.6950000000000001,0.023703592024614827,0.023996842484518444
0.7,0.024652831687512353,0.024953728528329236
0.705,0.02564115796260684,0.025949979860630336
0.71,0.026670426409835447,0.026987467312483127
0.715,0.027742602625650408,0.028068172342956534
0.72,0.0288597704667165,0.02919419524067945
0.725,0.030024141029167686,0.030367764072066494
0.73,0.031238062466624986,0.03159124445782976
0.735,0.03250403074093135,0.03286715026990502
0.74,0.03382470141191809,0.03419815535298407
0.745,0.035202902586752176,0.03558710638875873
0.75,0.03664164916585257,0.037037037037037014
0.755,0.038144158541387675,0.038551183506492726
0.76,0.03971386792645221,0.04013300172939312
0.765,0.04135445351872168,0.04178618633978921
0.77,0.04306985173237526,0.04351469168400003
0.775,0.04486428276719065,0.04532275512659428
0.78,0.04674227682493992,0.04721492295546294
0.7849999999999999,0.04870870333177361,0.0491960792371797
0.79,0.05076880358267814,0.05127147803015918
0.7949999999999999,0.05292822729216066,0.053446779429973626
0.8,0.05519307361635494,0.055728090000841286
0.8049999999999999,0.05756993730857082,0.058122008242590686
0.81,0.06006596078650585,0.06063567585686641
0.815,0.06268889302932164,0.0632768357144222
0.8200000000000001,0.06544715639223166,0.06605389759269198
0.825,0.06834992263225798,0.06897601295658144
0.8300000000000001,0.07140719969057883,0.07205316030477935
0.835,0.0746299310861185,0.07529624291063908
0.8400000000000001,0.07803011015697485,0.0787172011661809
0.845,0.08162091186076989,0.08232914220999565
0.85,0.08541684543811393,0.08614649011117392
0.855,0.08943393198961286,0.09018516062674022
0.86,0.09368991196232095,0.09446276549622995
0.865,0.0982044887483306,0.09899885244705578
0.87,0.10299961615077542,0.10381518864418887
0.875,0.10809983948693784,0.1089360973457592
0.88,0.11353270273558036,0.11438886018720654
0.885,0.11932923762257057,0.12020420104253761
0.89,0.12552455519759262,0.12641687213280584
0.895,0.1321585667500411,0.13306636944715228
0.9,0.13927686952425253,0.1401978133117783
0.905,0.1469318446344806,0.1478630421318111
0.9099999999999999,0.15518403137882297,0.15612198452435117
0.915,0.16410386616895134,0.16504439970580947
0.9199999999999999,0.1737739092472561,0.17471211195481393
0.925,0.18429173425165746,0.18522191847777128
0.9299999999999999,0.195773734439884,0.1966894313814301
0.935,0.2083602219318054,0.209254241295344
0.94,0.22222239252322099,0.2230869934307666
0.9450000000000001,0.23757205312898397,0.23839930295847253
0.95,0.2546755662321256,0.2554580128693946
0.9550000000000001,0.2738744658310709,0.2746063280751576
0.96,0.29561708930122427,0.2962962962962961
0.9650000000000001,0.32050936787294027,0.3211409689377514
0.97,0.3494011428302932,0.35000285925896113
0.975,0.3835439046885493,0.38415477901811723
0.98,0.42490806871222625,0.4256006307174832
0.985,0.4769120313301775,0.4778040422259692
0.99,0.546472682122978,0.5477084898572503
0.995,0.6523119995340799,0.6537872381269371
